NO,source_id,source_name,source_url,description_mode,license_id,rights_holder,attribution_text,evidence_url,verified_at,rights_status,similarity_check,privacy_mode
WEB429629e783,src_c9e59312d4809087,浜松市スポーツ協会 教室・イベント,https://hamamatsu-sports.or.jp/item/class_venue_address/higashi-ku/%e6%ad%a9%e3%81%8d%e6%96%b9%e3%80%81%e4%bd%93%e3%81%ae%e4%bd%bf%e3%81%84%e6%96%b9%e3%80%81%e6%ad%a3%e3%81%97%e3%81%84%e5%a7%bf%e5%8b%a2%e3%80%81%e3%83%ab%e3%83%b3%e3%83%90%e3%80%81%e3%83%af%e3%83%ab.html,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEB5d3ab099d2,src_c9e59312d4809087,浜松市スポーツ協会 教室・イベント,https://hamamatsu-sports.or.jp/item/class_venue_address/nishi-ku/%e5%b9%b4%e9%96%93%e3%83%9c%e3%83%bc%e3%83%88%e6%95%99%e5%ae%a4-2025.html,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEBae0b2854a7,src_c9e59312d4809087,浜松市スポーツ協会 教室・イベント,https://hamamatsu-sports.or.jp/item/class_venue_address/higashi-ku/%e6%ad%a9%e3%81%8d%e6%96%b9%e3%80%81%e4%bd%93%e3%81%ae%e4%bd%bf%e3%81%84%e6%96%b9%e3%80%81%e6%ad%a3%e3%81%97%e3%81%84%e5%a7%bf%e5%8b%a2%e3%80%81%e3%83%aa%e3%83%bc%e3%83%89%e3%81%a8%e3%83%95%e3%82%a9-4.html,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEB918085c593,src_c9e59312d4809087,浜松市スポーツ協会 教室・イベント,https://hamamatsu-sports.or.jp/item/class_venue_address/nishi-ku/%e5%b9%b4%e9%96%93%e3%83%9c%e3%83%bc%e3%83%88%e6%95%99%e5%ae%a4-2026.html,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEBe84c260220,src_c9e59312d4809087,浜松市スポーツ協会 教室・イベント,https://hamamatsu-sports.or.jp/item/class_venue_address/nishi-ku/%e8%88%9e%e9%98%aa_%e8%b6%b3%e3%82%92%e9%80%9f%e3%81%8f%e3%81%99%e3%82%8b%e6%95%99%e5%ae%a4_2025.html,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEB569d25d64b,src_c9e59312d4809087,浜松市スポーツ協会 教室・イベント,https://hamamatsu-sports.or.jp/item/class_venue_address/nishi-ku/%e7%9f%ad%e8%b7%9d%e9%9b%a2%e8%b5%b0%e3%82%92%e9%80%9f%e3%81%8f%e8%b5%b0%e3%82%8b%e3%81%9f%e3%82%81%e3%81%ae%e3%83%88%e3%83%ac%e3%83%bc%e3%83%8b%e3%83%b3%e3%82%b0%e3%82%84%e3%82%b3%e3%83%84%e3%82%92-2.html,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEB849b7fa32a,src_0630d7c643bcf8d9,浜名湖体験学習施設ウォット,https://ulotto.entetsuassist-dms.com/event/page/1/,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEB3131378972,src_0630d7c643bcf8d9,浜名湖体験学習施設ウォット,https://ulotto.entetsuassist-dms.com/event/page/2/,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEB38a6ff9ed9,src_be3eeca428a3d378,浜名湖ガーデンパーク,https://www.hamanako-gardenpark.jp/event/2026/07/post-524.php,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEB8fd3aabddc,src_be3eeca428a3d378,浜名湖ガーデンパーク,https://www.hamanako-gardenpark.jp/event/2026/06/post-644.php,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEB20d8c96543,src_be3eeca428a3d378,浜名湖ガーデンパーク,https://www.hamanako-gardenpark.jp/event/2026/06/post-634.php,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEB7085914fbb,src_be3eeca428a3d378,浜名湖ガーデンパーク,https://www.hamanako-gardenpark.jp/event/2026/06/post-637.php,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEB5bc402dd03,src_be3eeca428a3d378,浜名湖ガーデンパーク,https://www.hamanako-gardenpark.jp/event/2026/07/post-648.php,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEBc484fd3675,src_be3eeca428a3d378,浜名湖ガーデンパーク,https://www.hamanako-gardenpark.jp/event/2026/06/post-638.php,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEBf7be71437e,src_be3eeca428a3d378,浜名湖ガーデンパーク,https://www.hamanako-gardenpark.jp/event/2026/06/post-640.php,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEB8a446b6f91,src_be3eeca428a3d378,浜名湖ガーデンパーク,https://www.hamanako-gardenpark.jp/event/2026/06/post-642.php,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEBd40d9dcf7c,src_be3eeca428a3d378,浜名湖ガーデンパーク,https://www.hamanako-gardenpark.jp/event/2026/07/-7-1.php,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEBd1e91d8569,src_be3eeca428a3d378,浜名湖ガーデンパーク,https://www.hamanako-gardenpark.jp/event/2026/06/post-643.php,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEBcf415c91c3,src_be3eeca428a3d378,浜名湖ガーデンパーク,https://www.hamanako-gardenpark.jp/event/2026/08/-8.php,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEBb27534e9a7,src_be3eeca428a3d378,浜名湖ガーデンパーク,https://www.hamanako-gardenpark.jp/event/2026/08/-9.php,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEBce6df10dbd,src_be3eeca428a3d378,浜名湖ガーデンパーク,https://www.hamanako-gardenpark.jp/event/2026/06/post-620.php,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEBa57e1555e1,src_be3eeca428a3d378,浜名湖ガーデンパーク,https://www.hamanako-gardenpark.jp/event/2026/08/-9-1.php,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEBb88b4cedcb,src_be3eeca428a3d378,浜名湖ガーデンパーク,https://www.hamanako-gardenpark.jp/event/2026/08/8-7.php,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEB441ef9dcec,src_be3eeca428a3d378,浜名湖ガーデンパーク,https://www.hamanako-gardenpark.jp/event/2026/07/post-594.php,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEBbcfcf35286,src_be3eeca428a3d378,浜名湖ガーデンパーク,https://www.hamanako-gardenpark.jp/event/2026/07/post-649.php,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
