都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,イベント名,イベント名_カナ,イベント名_英語,開始日,終了日,開始時間,終了時間,開始日時特記事項,説明,料金(基本),料金(詳細),連絡先名称,連絡先電話番号,連絡先内線番号,主催者,場所名称,住所,方書,緯度,経度,アクセス方法,駐車場情報,定員,参加申込終了日,参加申込終了時間,参加申込方法,URL,備考,カテゴリー,区,公開日,更新日,子育て情報,施設No.
222135,WEBd772ad5135,静岡県,掛川市,【好評につき定員に達しました】令和８年８月12日（水）下水道施設家族見学会 ～施設の地下に潜ってみよう！～,,,2026-07-25,2026-07-25,08:30,,,「【好評につき定員に達しました】令和８年８月12日（水）下水道施設家族見学会 ～施設の地下に潜ってみよう！～」は2026-07-25に08:30に東京開催予定です。詳細は出典URLをご確認ください。,,,,,,,東京,,,34.759696,138.0046387,,,,,,,https://www.city.kakegawa.shizuoka.jp/,Web収集: 掛川市公式 イベントカレンダー; source_id=src_922182f158c43ba5; 説明生成=facts_only; privacy=public_facts_minimized,移住・定住,,,,,
222135,WEBebc082a34f,静岡県,掛川市,くらし・行政情報,,,2026-08-12,2026-08-12,09:00,16:00,,「くらし・行政情報」は2026-08-12に09:00から16:00に掛川浄化センター、生物循環パビリオン開催予定です。詳細は出典URLをご確認ください。,,,,,,,掛川浄化センター、生物循環パビリオン,掛川市長谷一丁目1番地の2,,34.768356,137.995651,,,20家族（午前の部10家族、午後の部10家族）,,,,https://www.city.kakegawa.shizuoka.jp/gyosei/docs/649889.html,Web収集: 掛川市公式 イベント新着; source_id=src_95af813fbf2ceea2; 説明生成=facts_only; privacy=public_facts_minimized,見学会,長谷,,,,
222135,WEB35e3d441a2,静岡県,掛川市,地域の文化財を学び共につなぐ「文化財サポーター」になりませんか？（令和８年度文化財サポーター講座受講生募集について）,,,2026-07-08,2026-07-08,09:30,12:00,,「地域の文化財を学び共につなぐ「文化財サポーター」になりませんか？（令和８年度文化財サポーター講座受講生募集について）」は2026-07-08に09:30から12:00に松ヶ岡（旧山﨑家住宅）開催予定です。料金は無料です。詳細は出典URLをご確認ください。,無料,,,,,,松ヶ岡（旧山﨑家住宅）,,,34.7736597,138.0081716,,,10名,,,,https://www.city.kakegawa.shizuoka.jp/gyosei/docs/863510.html,Web収集: 掛川市公式 イベント新着; source_id=src_95af813fbf2ceea2; 説明生成=facts_only; privacy=public_facts_minimized,講座,,,,,
222135,WEBfa86929405,静岡県,掛川市,くらし・行政情報,,,2025-07-25,2025-07-25,10:00,15:00,,「くらし・行政情報」は2025-07-25に10:00から15:00に松ヶ岡（旧山﨑家住宅）開催予定です。料金は無料です。詳細は出典URLをご確認ください。,無料,,,,,,松ヶ岡（旧山﨑家住宅）,掛川市南西郷838,,34.752666,138.00383,,,,,,,https://www.city.kakegawa.shizuoka.jp/gyosei/docs/8918.html,Web収集: 掛川市公式 イベント新着; source_id=src_95af813fbf2ceea2; 説明生成=facts_only; privacy=public_facts_minimized,文化財公開,掛川市,,,,
222135,WEB47b06536ed,静岡県,掛川市,SDGsイベント「第57回 掛川SANriseプロギング」（掛川SANrise),,,2026-07-26,2026-07-26,10:00,12:00,,「SDGsイベント「第57回 掛川SANriseプロギング」（掛川SANrise)」は2026-07-26に10:00から12:00に掛川市駅前公園開催予定です。料金は無料です。詳細は出典URLをご確認ください。,無料,,,,,,掛川市駅前公園,,,34.770313,138.016205,,,,,,,https://www.city.kakegawa.shizuoka.jp/sdgs/news/1096117.html,Web収集: 掛川市公式 イベント新着; source_id=src_95af813fbf2ceea2; 説明生成=facts_only; privacy=public_facts_minimized,イベント,,,,,
222135,WEBe120b01868,静岡県,掛川市,第148回「かけがわ けっトラ市」9月19日（土）開催！,,,2025-09-19,2025-09-19,09:00,12:00,,「第148回「かけがわ けっトラ市」9月19日（土）開催！」は2025-09-19に09:00から12:00に掛川駅前通り開催予定です。詳細は出典URLをご確認ください。,,,,,,,掛川駅前通り,,,34.768814,137.998367,,,,,,,https://www.city.kakegawa.shizuoka.jp/gyosei/docs/7135.html,Web収集: 掛川市公式 イベント新着; source_id=src_95af813fbf2ceea2; 説明生成=facts_only; privacy=public_facts_minimized,その他,,,,,
222135,WEBb4770807f8,静岡県,掛川市,くらし・行政情報,,,2026-08-11,2026-08-11,10:00,,,「くらし・行政情報」は2026-08-11に10:00に掛川市立中央図書館 地下１階 会議室B開催予定です。詳細は出典URLをご確認ください。,,,,,,,掛川市立中央図書館 地下１階 会議室B,,,34.768814,137.998367,,,,,,,https://www.city.kakegawa.shizuoka.jp/gyosei/docs/1046132.html,Web収集: 掛川市公式 イベント新着; source_id=src_95af813fbf2ceea2; 説明生成=facts_only; privacy=public_facts_minimized,イベント,,,,,
222135,WEB32ba4574f3,静岡県,掛川市,SDGsイベント「 はじめよう、「エニ活。」 無料体験会のご案内」（掛川東病院×エニタイムフィットネス掛川店),,,2026-07-29,2026-07-29,13:00,15:00,,「SDGsイベント「 はじめよう、「エニ活。」 無料体験会のご案内」（掛川東病院×エニタイムフィットネス掛川店)」は2026-07-29に13:00から15:00にエニタイムフィットネス掛川開催予定です。料金は無料です。事前申込が必要です。詳細は出典URLをご確認ください。,無料,,,,,,エニタイムフィットネス掛川,,,34.7815356,138.0130541,,,,,,事前申込が必要です。詳細は出典URLをご確認ください。,https://www.city.kakegawa.shizuoka.jp/sdgs/news/1077931.html,Web収集: 掛川市公式 イベント新着; source_id=src_95af813fbf2ceea2; 説明生成=facts_only; privacy=public_facts_minimized,健康・医療,掛川市,,,,
222135,WEBf52a1ae8ef,静岡県,掛川市,令和８年７月25日 東京開催 静岡まるごと移住フェアに出展します！,,,2026-07-25,2026-07-25,10:30,16:30,,「令和８年７月25日 東京開催 静岡まるごと移住フェアに出展します！」は2026-07-25に10:30から16:30に東京交通会館12階 ダイヤモンドホール開催予定です。料金は無料です。詳細は出典URLをご確認ください。,無料,,,,,,東京交通会館12階 ダイヤモンドホール,東京都千代田区有楽町２丁目10-1,,34.831879,138.08136,,,,,,,https://www.city.kakegawa.shizuoka.jp/gyosei/docs/1057294.html,Web収集: 掛川市公式 イベント新着; source_id=src_95af813fbf2ceea2; 説明生成=facts_only; privacy=public_facts_minimized,移住相談,千代田区,,,,
222135,WEBc3fc16408a,静岡県,掛川市,SDGsイベント「 はじめよう、「エニ活。」 無料体験会のご案内」（掛川東病院×エニタイムフィットネス掛川店),,,2026-06-24,2026-06-24,13:00,15:00,,「SDGsイベント「 はじめよう、「エニ活。」 無料体験会のご案内」（掛川東病院×エニタイムフィットネス掛川店)」は2026-06-24に13:00から15:00にエニタイムフィットネス掛川開催予定です。料金は無料です。詳細は出典URLをご確認ください。,無料,,,,,,エニタイムフィットネス掛川,,,34.7815356,138.0130541,,,,,,,https://www.city.kakegawa.shizuoka.jp/sdgs/news/1058327.html,Web収集: 掛川市公式 イベント新着; source_id=src_95af813fbf2ceea2; 説明生成=facts_only; privacy=public_facts_minimized,イベント,,,,,
