NO,source_id,source_name,source_url,description_mode,license_id,rights_holder,attribution_text,evidence_url,verified_at,rights_status,similarity_check,privacy_mode
WEBd772ad5135,src_922182f158c43ba5,掛川市公式 イベントカレンダー,https://www.city.kakegawa.shizuoka.jp/,facts_only,,,,,,unknown,passed,public_facts_minimized
WEBebc082a34f,src_95af813fbf2ceea2,掛川市公式 イベント新着,https://www.city.kakegawa.shizuoka.jp/gyosei/docs/649889.html,facts_only,,,,,,unknown,passed,public_facts_minimized
WEB35e3d441a2,src_95af813fbf2ceea2,掛川市公式 イベント新着,https://www.city.kakegawa.shizuoka.jp/gyosei/docs/863510.html,facts_only,,,,,,unknown,passed,public_facts_minimized
WEBfa86929405,src_95af813fbf2ceea2,掛川市公式 イベント新着,https://www.city.kakegawa.shizuoka.jp/gyosei/docs/8918.html,facts_only,,,,,,unknown,passed,public_facts_minimized
WEB47b06536ed,src_95af813fbf2ceea2,掛川市公式 イベント新着,https://www.city.kakegawa.shizuoka.jp/sdgs/news/1096117.html,facts_only,,,,,,unknown,passed,public_facts_minimized
WEBe120b01868,src_95af813fbf2ceea2,掛川市公式 イベント新着,https://www.city.kakegawa.shizuoka.jp/gyosei/docs/7135.html,facts_only,,,,,,unknown,passed,public_facts_minimized
WEBb4770807f8,src_95af813fbf2ceea2,掛川市公式 イベント新着,https://www.city.kakegawa.shizuoka.jp/gyosei/docs/1046132.html,facts_only,,,,,,unknown,passed,public_facts_minimized
WEB32ba4574f3,src_95af813fbf2ceea2,掛川市公式 イベント新着,https://www.city.kakegawa.shizuoka.jp/sdgs/news/1077931.html,facts_only,,,,,,unknown,passed,public_facts_minimized
WEBf52a1ae8ef,src_95af813fbf2ceea2,掛川市公式 イベント新着,https://www.city.kakegawa.shizuoka.jp/gyosei/docs/1057294.html,facts_only,,,,,,unknown,passed,public_facts_minimized
WEBc3fc16408a,src_95af813fbf2ceea2,掛川市公式 イベント新着,https://www.city.kakegawa.shizuoka.jp/sdgs/news/1058327.html,facts_only,,,,,,unknown,passed,public_facts_minimized
WEBc4fd806359,src_95af813fbf2ceea2,掛川市公式 イベント新着,https://www.city.kakegawa.shizuoka.jp/gyosei/docs/846903.html,facts_only,,,,,,unknown,passed,public_facts_minimized
WEB78f2b9fd05,src_95af813fbf2ceea2,掛川市公式 イベント新着,https://www.city.kakegawa.shizuoka.jp/sdgs/news/1036555.html,facts_only,,,,,,unknown,passed,public_facts_minimized
WEBc26e8a20b6,src_95af813fbf2ceea2,掛川市公式 イベント新着,https://www.city.kakegawa.shizuoka.jp/sdgs/news/1031570.html,facts_only,,,,,,unknown,passed,public_facts_minimized
WEB05621581a3,src_95af813fbf2ceea2,掛川市公式 イベント新着,https://www.city.kakegawa.shizuoka.jp/gyosei/docs/421950.html,facts_only,,,,,,unknown,passed,public_facts_minimized
WEB66f1e6e4cd,src_95af813fbf2ceea2,掛川市公式 イベント新着,https://www.city.kakegawa.shizuoka.jp/gyosei/docs/978171.html,facts_only,,,,,,unknown,passed,public_facts_minimized
WEBa4bf986e90,src_95af813fbf2ceea2,掛川市公式 イベント新着,https://www.city.kakegawa.shizuoka.jp/sdgs/news/1019200.html,facts_only,,,,,,unknown,passed,public_facts_minimized
WEB8b5debbe35,src_95af813fbf2ceea2,掛川市公式 イベント新着,https://www.city.kakegawa.shizuoka.jp/gyosei/docs/1011617.html,facts_only,,,,,,unknown,passed,public_facts_minimized
WEB1bea23bcee,src_95af813fbf2ceea2,掛川市公式 イベント新着,https://www.city.kakegawa.shizuoka.jp/sdgs/news/1015415.html,facts_only,,,,,,unknown,passed,public_facts_minimized
WEB9c4a0a0edc,src_95af813fbf2ceea2,掛川市公式 イベント新着,https://www.city.kakegawa.shizuoka.jp/gyosei/docs/482528.html,facts_only,,,,,,unknown,passed,public_facts_minimized
WEB7936c88e69,src_95af813fbf2ceea2,掛川市公式 イベント新着,https://www.city.kakegawa.shizuoka.jp/sdgs/news/1004268.html,facts_only,,,,,,unknown,passed,public_facts_minimized
WEB8b8964bf7d,src_95af813fbf2ceea2,掛川市公式 イベント新着,https://www.city.kakegawa.shizuoka.jp/gyosei/docs/790412.html,facts_only,,,,,,unknown,passed,public_facts_minimized
WEB2ffadbeeb4,src_95af813fbf2ceea2,掛川市公式 イベント新着,https://www.city.kakegawa.shizuoka.jp/sdgs/news/302803.html,facts_only,,,,,,unknown,passed,public_facts_minimized
WEB261c1a495f,src_f6d092658a155a8d,掛川市観光サイト イベントカレンダー,https://www.city.kakegawa.shizuoka.jp/kanko/docs/7361.html,facts_only,,,,,,unknown,passed,public_facts_minimized
WEBe367031b62,src_f6d092658a155a8d,掛川市観光サイト イベントカレンダー,https://www.city.kakegawa.shizuoka.jp/kanko/docs/7467.html,facts_only,,,,,,unknown,passed,public_facts_minimized
WEBc0892b46ab,src_f6d092658a155a8d,掛川市観光サイト イベントカレンダー,https://www.city.kakegawa.shizuoka.jp/kanko/docs/7650.html,facts_only,,,,,,unknown,passed,public_facts_minimized
