都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,イベント名,イベント名_カナ,イベント名_英語,開始日,終了日,開始時間,終了時間,開始日時特記事項,説明,料金(基本),料金(詳細),連絡先名称,連絡先電話番号,連絡先内線番号,主催者,場所名称,住所,方書,緯度,経度,アクセス方法,駐車場情報,定員,参加申込終了日,参加申込終了時間,参加申込方法,URL,備考,カテゴリー,区,公開日,更新日,子育て情報,施設No.
222216,WEB319787c391,静岡県,湖西市,新居関所イベント情報はこちらから！（随時更新）,,,2026-11-23,2026-12-25,09:00,16:30,,「新居関所イベント情報はこちらから！（随時更新）」は2026-11-23から2026-12-25に09:00から16:30に新居関所史料館開催予定です。料金は400円 / 150円です。詳細は出典URLをご確認ください。,400円 / 150円,,,,,,新居関所史料館,,,34.6948427,137.5616958,,,,,,,https://www.city.kosai.shizuoka.jp/soshikiichiran/kanko/event/1534.html,Web収集: 湖西市公式 観光イベント情報; source_id=src_2275dad0c0d52054; 説明生成=facts_only; privacy=public_facts_minimized,展示会,新居,,,,
222216,WEB02c2882a9d,静岡県,湖西市,小松楼まちづくり交流館イベント,,,2026-06-10,2026-06-10,09:00,17:00,,「小松楼まちづくり交流館イベント」は2026-06-10に09:00から17:00に小松楼まちづくり交流館開催予定です。詳細は出典URLをご確認ください。,,,,,,,小松楼まちづくり交流館,,,34.6940391,137.5597963,,,,,,,https://www.city.kosai.shizuoka.jp/soshikiichiran/kanko/event/2573.html,Web収集: 湖西市公式 観光イベント情報; source_id=src_2275dad0c0d52054; 説明生成=facts_only; privacy=public_facts_minimized,写真展,湖西市,,,,
222216,WEB90bde69532,静岡県,湖西市,小松楼まちづくり交流館過去実施イベント,,,2024-11-01,2026-11-30,09:00,17:00,,「小松楼まちづくり交流館過去実施イベント」は2024-11-01から2026-11-30に09:00から17:00に小松楼まちづくり交流館開催予定です。料金は無料です。詳細は出典URLをご確認ください。,無料,,,,,,小松楼まちづくり交流館,,,34.6940391,137.5597963,,,,,,,https://www.city.kosai.shizuoka.jp/soshikiichiran/kanko/event/17990.html,Web収集: 湖西市公式 観光イベント情報; source_id=src_2275dad0c0d52054; 説明生成=facts_only; privacy=public_facts_minimized,イベント,,,,,
222216,WEBc4a0e89d75,静岡県,湖西市,中根庭園草引き会,,,2026-03-18,2026-03-18,09:00,12:00,,「中根庭園草引き会」は2026-03-18に09:00から12:00に老人福祉センター開催予定です。料金は300円です。事前申込が必要です。詳細は出典URLをご確認ください。,300円,,,,,,老人福祉センター,,,34.686251,137.560138,,,,,,事前申込が必要です。詳細は出典URLをご確認ください。,https://www.city.kosai.shizuoka.jp/soshikiichiran/kanko/event/12807.html,Web収集: 湖西市公式 観光イベント情報; source_id=src_2275dad0c0d52054; 説明生成=facts_only; privacy=public_facts_minimized,イベント,,,,,
222216,WEB6cb03e5dea,静岡県,湖西市,共生の為のアートプロジェクト（湖西市市民活動補助金申請事業）,,,2025-10-17,2025-10-17,10:00,11:30,,「共生の為のアートプロジェクト（湖西市市民活動補助金申請事業）」は2025-10-17に10:00から11:30にヨハク INN開催予定です。料金は300円です。詳細は出典URLをご確認ください。,300円,,,,,,ヨハク INN,湖西市新居町新居3356-1,,34.694702,137.568542,,,各回先着10名様,2025-10-30,,,https://www.city.kosai.shizuoka.jp/soshikiichiran/kanko/event/17925.html,Web収集: 湖西市公式 観光イベント情報; source_id=src_2275dad0c0d52054; 説明生成=facts_only; privacy=public_facts_minimized,ワークショップ,新居町,,,,
222216,WEBecba5d1bc1,静岡県,湖西市,新居関所史料館開館記念日イベント情報,,,2026-11-03,2026-11-03,09:00,16:30,,「新居関所史料館開館記念日イベント情報」は2026-11-03に09:00から16:30に新居関所史料館開催予定です。料金は無料です。詳細は出典URLをご確認ください。,無料,,,,,,新居関所史料館,静岡県湖西市吉美3268,,34.718716,137.53157,,,,,,,https://www.city.kosai.shizuoka.jp/soshikiichiran/kanko/event/17999.html,Web収集: 湖西市公式 観光イベント情報; source_id=src_2275dad0c0d52054; 説明生成=facts_only; privacy=public_facts_minimized,文化・歴史,湖西市,,,,
222216,WEB07ee0e17ea,静岡県,湖西市,お知らせ・イベント,,,2026-07-26,2026-07-26,08:00,11:00,,「お知らせ・イベント」は2026-07-26に08:00から11:00に今切体験の里海湖館周辺開催予定です。詳細は出典URLをご確認ください。,,,,,,,今切体験の里海湖館周辺,静岡県湖西市新居町新居官有無番地,,34.68784,137.573212,,,,,,,https://hamanako-kosai.jp/news-event/11006/,Web収集: お知らせ・イベント｜湖西・新居観光協会【公式】; source_id=src_b0433ff42e6f55bf; 説明生成=facts_only; privacy=public_facts_minimized,文化・図書館イベント,湖西市,,,,
222216,WEB41513ddceb,静岡県,湖西市,お知らせ・イベント,,,2026-07-25,2026-07-25,10:00,15:00,,「お知らせ・イベント」は2026-07-25に10:00から15:00に浜名港開催予定です。料金は無料です。詳細は出典URLをご確認ください。,無料,,,,,,浜名港,静岡県湖西市新居町新居3448付近,,34.693604,137.57988,,,,,,,https://hamanako-kosai.jp/news-event/12554/,Web収集: お知らせ・イベント｜湖西・新居観光協会【公式】; source_id=src_b0433ff42e6f55bf; 説明生成=facts_only; privacy=public_facts_minimized,イベント,湖西市,,,,
222216,WEBfe6c60afba,静岡県,湖西市,お知らせ・イベント,,,2025-07-25,2025-07-25,09:00,14:00,,「お知らせ・イベント」は2025-07-25に09:00から14:00に海湖館開催予定です。事前申込が必要です。詳細は出典URLをご確認ください。,,,,,,,海湖館,湖西市新居町新居官有無番地（海湖館内）,,34.68784,137.573212,,,,,,事前申込が必要です。詳細は出典URLをご確認ください。,https://hamanako-kosai.jp/news-event/11724/,Web収集: お知らせ・イベント｜湖西・新居観光協会【公式】; source_id=src_b0433ff42e6f55bf; 説明生成=facts_only; privacy=public_facts_minimized,体験・ワークショップ,湖西市,,,,
222216,WEB5cae0b665b,静岡県,湖西市,お知らせ・イベント,,,2026-09-19,2026-09-19,17:30,20:00,,「お知らせ・イベント」は2026-09-19に17:30から20:00にボートレース浜名湖開催予定です。料金は10000円です。事前申込が必要です。詳細は出典URLをご確認ください。,10000円,,,,,,ボートレース浜名湖,,,34.6982835,137.5719358,,,最大定員40名,2026-09-10,,事前申込が必要です。詳細は出典URLをご確認ください。,https://hamanako-kosai.jp/news-event/12848/,Web収集: お知らせ・イベント｜湖西・新居観光協会【公式】; source_id=src_b0433ff42e6f55bf; 説明生成=facts_only; privacy=public_facts_minimized,イベント,新居町,,,,
