NO,source_id,source_name,source_url,description_mode,license_id,rights_holder,attribution_text,evidence_url,verified_at,rights_status,similarity_check,privacy_mode
WEB319787c391,src_2275dad0c0d52054,湖西市公式 観光イベント情報,https://www.city.kosai.shizuoka.jp/soshikiichiran/kanko/event/1534.html,facts_only,,,,,,unknown,passed,public_facts_minimized
WEB02c2882a9d,src_2275dad0c0d52054,湖西市公式 観光イベント情報,https://www.city.kosai.shizuoka.jp/soshikiichiran/kanko/event/2573.html,facts_only,,,,,,unknown,passed,public_facts_minimized
WEB90bde69532,src_2275dad0c0d52054,湖西市公式 観光イベント情報,https://www.city.kosai.shizuoka.jp/soshikiichiran/kanko/event/17990.html,facts_only,,,,,,unknown,passed,public_facts_minimized
WEBc4a0e89d75,src_2275dad0c0d52054,湖西市公式 観光イベント情報,https://www.city.kosai.shizuoka.jp/soshikiichiran/kanko/event/12807.html,facts_only,,,,,,unknown,passed,public_facts_minimized
WEB6cb03e5dea,src_2275dad0c0d52054,湖西市公式 観光イベント情報,https://www.city.kosai.shizuoka.jp/soshikiichiran/kanko/event/17925.html,facts_only,,,,,,unknown,passed,public_facts_minimized
WEBecba5d1bc1,src_2275dad0c0d52054,湖西市公式 観光イベント情報,https://www.city.kosai.shizuoka.jp/soshikiichiran/kanko/event/17999.html,facts_only,,,,,,unknown,passed,public_facts_minimized
WEB07ee0e17ea,src_b0433ff42e6f55bf,お知らせ・イベント｜湖西・新居観光協会【公式】,https://hamanako-kosai.jp/news-event/11006/,facts_only,,,,,,unknown,passed,public_facts_minimized
WEB41513ddceb,src_b0433ff42e6f55bf,お知らせ・イベント｜湖西・新居観光協会【公式】,https://hamanako-kosai.jp/news-event/12554/,facts_only,,,,,,unknown,passed,public_facts_minimized
WEBfe6c60afba,src_b0433ff42e6f55bf,お知らせ・イベント｜湖西・新居観光協会【公式】,https://hamanako-kosai.jp/news-event/11724/,facts_only,,,,,,unknown,passed,public_facts_minimized
WEB5cae0b665b,src_b0433ff42e6f55bf,お知らせ・イベント｜湖西・新居観光協会【公式】,https://hamanako-kosai.jp/news-event/12848/,facts_only,,,,,,unknown,passed,public_facts_minimized
