都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,イベント名,イベント名_カナ,イベント名_英語,開始日,終了日,開始時間,終了時間,開始日時特記事項,説明,料金(基本),料金(詳細),連絡先名称,連絡先電話番号,連絡先内線番号,主催者,場所名称,住所,方書,緯度,経度,アクセス方法,駐車場情報,定員,参加申込終了日,参加申込終了時間,参加申込方法,URL,備考,カテゴリー,区,公開日,更新日,子育て情報,施設No.
232076,WEB2e305d345f,愛知県,豊川市,大人のカホンワークショップ2026,,,2026-07-17,2026-07-17,07:00,,,「大人のカホンワークショップ2026」は2026-07-17に07:00に豊川市御津文化会館（ハートフルホール）開催予定です。料金は無料です。詳細は出典URLをご確認ください。,無料,,,,,,豊川市御津文化会館（ハートフルホール）,442-0841,,34.822912,137.3603572,,,,,,,https://www.city.toyokawa.lg.jp/soshiki/shimin/bunkashinko/1/2/3/28658.html,Web収集: 豊川市公式 イベントカレンダー; source_id=src_9ffe8fe7081dc166; 説明生成=facts_only; privacy=public_facts_minimized,イベント,,,,,
232076,WEBe6f382725c,愛知県,豊川市,第30回記念 栗林 純子・森 尚子の音楽セミナー,,,2026-07-22,2026-07-22,02:00,,,「第30回記念 栗林 純子・森 尚子の音楽セミナー」は2026-07-22に02:00にフロイデンホール（豊川市小坂井文化会館）開催予定です。詳細は出典URLをご確認ください。,,,,,,,フロイデンホール（豊川市小坂井文化会館）,442-0841,,34.822912,137.3603572,,,,,,,https://www.city.toyokawa.lg.jp/soshiki/shimin/bunkashinko/1/2/3/6512.html,Web収集: 豊川市公式 イベントカレンダー; source_id=src_9ffe8fe7081dc166; 説明生成=facts_only; privacy=public_facts_minimized,イベント,,,,,
232076,WEB309182608d,愛知県,豊川市,打楽器ワークショップ2026,,,2026-06-07,2026-06-29,01:30,,,「打楽器ワークショップ2026」は2026-06-07から2026-06-29に01:30に豊川市御津文化会館（ハートフルホール）開催予定です。料金は無料です。詳細は出典URLをご確認ください。,無料,,,,,,豊川市御津文化会館（ハートフルホール）,442-0841,,34.822912,137.3603572,,,,,,,https://www.city.toyokawa.lg.jp/soshiki/shimin/bunkashinko/1/2/3/28657.html,Web収集: 豊川市公式 イベントカレンダー; source_id=src_9ffe8fe7081dc166; 説明生成=facts_only; privacy=public_facts_minimized,イベント,,,,,
232076,WEB14d36cde21,愛知県,豊川市,三河天平の里資料館講座「勾玉（まがたま）作り」,,,2026-07-26,2026-07-26,10:00,12:00,,「三河天平の里資料館講座「勾玉（まがたま）作り」」は2026-07-26に10:00から12:00に三河天平の里資料館（三河国分尼寺跡史跡公園内）開催予定です。詳細は出典URLをご確認ください。,,,,,,,三河天平の里資料館（三河国分尼寺跡史跡公園内）,441-0292,,34.826942,137.375839,,,,,,,https://www.city.toyokawa.lg.jp/soshiki/kyoikuiinkai/shogaigakushu/2/5/1/1/23706.html,Web収集: 豊川市公式 イベントカレンダー; source_id=src_9ffe8fe7081dc166; 説明生成=facts_only; privacy=public_facts_minimized,イベント,,,,,
232076,WEBd9c44a5f88,愛知県,豊川市,美術セミナー 豊川ゆかりの画家 冨安昌也とその作品,,,2026-07-26,2026-07-26,02:00,,,「美術セミナー 豊川ゆかりの画家 冨安昌也とその作品」は2026-07-26に02:00に桜ヶ丘ミュージアム2階会議室開催予定です。料金は無料です。詳細は出典URLをご確認ください。,無料,,,,,,桜ヶ丘ミュージアム2階会議室,442-0841,,34.822912,137.3603572,,,,,,,https://www.city.toyokawa.lg.jp/soshiki/shimin/bunkashinko/1/2/3/27262.html,Web収集: 豊川市公式 イベントカレンダー; source_id=src_9ffe8fe7081dc166; 説明生成=facts_only; privacy=public_facts_minimized,イベント,,,,,
232076,WEB42b7bb4ab6,愛知県,豊川市,BIRTH☆ファミリーコンサート2026,,,2026-07-26,2026-07-26,02:00,,,「BIRTH☆ファミリーコンサート2026」は2026-07-26に02:00に豊川市御津文化会館（ハートフルホール）開催予定です。詳細は出典URLをご確認ください。,,,,,,,豊川市御津文化会館（ハートフルホール）,442-0841,,34.822912,137.3603572,,,,,,,https://www.city.toyokawa.lg.jp/soshiki/shimin/bunkashinko/1/2/4/28656.html,Web収集: 豊川市公式 イベントカレンダー; source_id=src_9ffe8fe7081dc166; 説明生成=facts_only; privacy=public_facts_minimized,イベント,,,,,
232076,WEB696de45fe3,愛知県,豊川市,ジョイントフェスティバル2026 人形劇団パン おべんとうバス,,,2026-08-30,2026-08-30,02:00,,,「ジョイントフェスティバル2026 人形劇団パン おべんとうバス」は2026-08-30に02:00に一宮生涯学習センター開催予定です。詳細は出典URLをご確認ください。,,,,,,,一宮生涯学習センター,442-0841,,34.822912,137.3603572,,,,,,,https://www.city.toyokawa.lg.jp/kanko_bunka_sports/event/29318.html,Web収集: 豊川市公式 イベント情報; source_id=src_0b9a1537c6ceed98; 説明生成=facts_only; privacy=public_facts_minimized,イベント,,,,,
232076,WEB9a351b0210,愛知県,豊川市,朗読と音楽が織りなす、その場限りの新体験,,,2026-08-08,2026-08-08,02:00,,,「朗読と音楽が織りなす、その場限りの新体験」は2026-08-08に02:00に豊川市音羽文化ホール（ウィンディアホール）開催予定です。詳細は出典URLをご確認ください。,,,,,,,豊川市音羽文化ホール（ウィンディアホール）,442-0841,,34.822912,137.3603572,,,,,,,https://www.city.toyokawa.lg.jp/kanko_bunka_sports/event/29207.html,Web収集: 豊川市公式 イベント情報; source_id=src_0b9a1537c6ceed98; 説明生成=facts_only; privacy=public_facts_minimized,イベント,,,,,
232076,WEB6649bff1f7,愛知県,豊川市,Saturday Special Jazz Live 2026〈終了しました〉,,,2026-06-27,2026-06-27,02:00,,,「Saturday Special Jazz Live 2026〈終了しました〉」は2026-06-27に02:00に豊川市文化会館 中ホール開催予定です。詳細は出典URLをご確認ください。,,,,,,,豊川市文化会館 中ホール,442-0841,,34.822912,137.3603572,,,,,,,https://www.city.toyokawa.lg.jp/kanko_bunka_sports/event/29069.html,Web収集: 豊川市公式 イベント情報; source_id=src_0b9a1537c6ceed98; 説明生成=facts_only; privacy=public_facts_minimized,イベント,,,,,
232076,WEBed866fa0ea,愛知県,豊川市,関連イベント,,,2026-06-14,2026-06-14,02:00,,,「関連イベント」は2026-06-14に02:00に豊川市小坂井文化会館（フロイデンホール）開催予定です。詳細は出典URLをご確認ください。,,,,,,,豊川市小坂井文化会館（フロイデンホール）,442-0841,,34.822912,137.3603572,,,,,,,https://www.city.toyokawa.lg.jp/kanko_bunka_sports/event/28083.html,Web収集: 豊川市公式 イベント情報; source_id=src_0b9a1537c6ceed98; 説明生成=facts_only; privacy=public_facts_minimized,イベント,,,,,
