NO,source_id,source_name,source_url,description_mode,license_id,rights_holder,attribution_text,evidence_url,verified_at,rights_status,similarity_check,privacy_mode
WEB2e305d345f,src_9ffe8fe7081dc166,豊川市公式 イベントカレンダー,https://www.city.toyokawa.lg.jp/soshiki/shimin/bunkashinko/1/2/3/28658.html,facts_only,,,,,,unknown,passed,public_facts_minimized
WEBe6f382725c,src_9ffe8fe7081dc166,豊川市公式 イベントカレンダー,https://www.city.toyokawa.lg.jp/soshiki/shimin/bunkashinko/1/2/3/6512.html,facts_only,,,,,,unknown,passed,public_facts_minimized
WEB309182608d,src_9ffe8fe7081dc166,豊川市公式 イベントカレンダー,https://www.city.toyokawa.lg.jp/soshiki/shimin/bunkashinko/1/2/3/28657.html,facts_only,,,,,,unknown,passed,public_facts_minimized
WEB14d36cde21,src_9ffe8fe7081dc166,豊川市公式 イベントカレンダー,https://www.city.toyokawa.lg.jp/soshiki/kyoikuiinkai/shogaigakushu/2/5/1/1/23706.html,facts_only,,,,,,unknown,passed,public_facts_minimized
WEBd9c44a5f88,src_9ffe8fe7081dc166,豊川市公式 イベントカレンダー,https://www.city.toyokawa.lg.jp/soshiki/shimin/bunkashinko/1/2/3/27262.html,facts_only,,,,,,unknown,passed,public_facts_minimized
WEB42b7bb4ab6,src_9ffe8fe7081dc166,豊川市公式 イベントカレンダー,https://www.city.toyokawa.lg.jp/soshiki/shimin/bunkashinko/1/2/4/28656.html,facts_only,,,,,,unknown,passed,public_facts_minimized
WEB696de45fe3,src_0b9a1537c6ceed98,豊川市公式 イベント情報,https://www.city.toyokawa.lg.jp/kanko_bunka_sports/event/29318.html,facts_only,,,,,,unknown,passed,public_facts_minimized
WEB9a351b0210,src_0b9a1537c6ceed98,豊川市公式 イベント情報,https://www.city.toyokawa.lg.jp/kanko_bunka_sports/event/29207.html,facts_only,,,,,,unknown,passed,public_facts_minimized
WEB6649bff1f7,src_0b9a1537c6ceed98,豊川市公式 イベント情報,https://www.city.toyokawa.lg.jp/kanko_bunka_sports/event/29069.html,facts_only,,,,,,unknown,passed,public_facts_minimized
WEBed866fa0ea,src_0b9a1537c6ceed98,豊川市公式 イベント情報,https://www.city.toyokawa.lg.jp/kanko_bunka_sports/event/28083.html,facts_only,,,,,,unknown,passed,public_facts_minimized
WEB55c4bf3a47,src_0b9a1537c6ceed98,豊川市公式 イベント情報,https://www.city.toyokawa.lg.jp/kanko_bunka_sports/event/25249.html,facts_only,,,,,,unknown,passed,public_facts_minimized
WEB455c452596,src_0b9a1537c6ceed98,豊川市公式 イベント情報,https://www.city.toyokawa.lg.jp/kanko_bunka_sports/event/29353.html,facts_only,,,,,,unknown,passed,public_facts_minimized
WEB393f698b8a,src_0b9a1537c6ceed98,豊川市公式 イベント情報,https://www.city.toyokawa.lg.jp/kanko_bunka_sports/event/30051.html,facts_only,,,,,,unknown,passed,public_facts_minimized
